method,K,COS,TP,FP,FN,Precison,Recall,cls_res
pam,4,0.01,0.0,9.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
pam,4,0.005,0.0,7.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
pam,8,0.01,0.0,7.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
pam,8,0.005,0.0,6.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
pam,16,0.01,0.0,8.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
pam,16,0.005,0.0,6.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
pam,32,0.01,0.0,8.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
pam,32,0.005,0.0,6.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
cam,4,0.01,0.0,9.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
cam,4,0.005,0.0,7.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
cam,8,0.01,0.0,7.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
cam,8,0.005,0.0,6.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
cam,16,0.01,0.0,8.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
cam,16,0.005,0.0,6.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
cam,32,0.01,0.0,8.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
cam,32,0.005,0.0,6.0,31.0,0.0,0.0,"tensor(0., device='cuda:0')"
